,location,total_sqft,bath,price,bhk
0,1st Phase JP Nagar,2825.0,4.0,250.0,4
1,1st Phase JP Nagar,1875.0,3.0,167.0,3
2,1st Phase JP Nagar,1394.0,2.0,100.0,2
3,1st Phase JP Nagar,1077.0,2.0,93.0,2
4,1st Phase JP Nagar,1590.0,3.0,131.0,3
5,1st Phase JP Nagar,2180.0,3.0,210.0,3
6,1st Phase JP Nagar,2077.0,3.0,175.0,3
7,1st Phase JP Nagar,1205.0,2.0,85.0,2
8,1st Phase JP Nagar,2615.0,5.0,222.0,4
9,5th Phase JP Nagar,1150.0,3.0,52.5,2
11,5th Phase JP Nagar,600.0,1.0,30.0,1
12,5th Phase JP Nagar,1000.0,2.0,48.0,2
13,5th Phase JP Nagar,1350.0,2.0,75.0,3
14,5th Phase JP Nagar,1030.0,2.0,57.0,2
15,5th Phase JP Nagar,1190.0,2.0,61.8,2
16,5th Phase JP Nagar,1080.0,2.0,53.0,2
17,5th Phase JP Nagar,1041.0,2.0,54.0,2
18,5th Phase JP Nagar,1450.0,2.0,73.0,3
19,7th Phase JP Nagar,1080.0,2.0,72.0,2
20,7th Phase JP Nagar,1270.0,2.0,93.0,2
21,7th Phase JP Nagar,1420.0,2.0,100.0,3
22,7th Phase JP Nagar,1245.0,2.0,94.0,2
23,7th Phase JP Nagar,1175.0,2.0,82.0,2
24,7th Phase JP Nagar,1400.0,2.0,95.0,3
25,7th Phase JP Nagar,2225.0,3.0,160.0,3
26,7th Phase JP Nagar,1050.0,2.0,71.0,2
27,7th Phase JP Nagar,1450.0,2.0,100.0,3
28,7th Phase JP Nagar,1420.0,2.0,96.0,3
29,7th Phase JP Nagar,1680.0,3.0,120.0,3
30,7th Phase JP Nagar,980.0,2.0,69.0,2
31,7th Phase JP Nagar,1180.0,2.0,72.0,2
33,7th Phase JP Nagar,1270.0,2.0,83.0,2
34,7th Phase JP Nagar,2503.0,4.0,188.0,4
36,7th Phase JP Nagar,1575.0,2.0,110.0,3
37,7th Phase JP Nagar,1850.0,3.0,140.0,3
38,7th Phase JP Nagar,1575.0,2.0,120.0,3
39,7th Phase JP Nagar,1680.0,3.0,120.0,3
40,7th Phase JP Nagar,1175.0,2.0,82.5,2
41,7th Phase JP Nagar,1215.0,2.0,90.0,2
42,7th Phase JP Nagar,1050.0,2.0,75.0,2
43,7th Phase JP Nagar,1300.0,3.0,89.13,3
44,7th Phase JP Nagar,1130.0,2.0,73.0,2
45,7th Phase JP Nagar,1450.0,3.0,100.0,3
46,7th Phase JP Nagar,1275.0,2.0,87.0,2
